timestamp,open,high,low,close,volume
2023-09-18,22.51,23.32,22.19,22.56,9478.27
2023-09-19,22.6,23.11,22.32,22.49,7565.14
2023-09-20,22.49,22.59,21.73,21.86,9381.97
2023-09-21,21.86,21.9,20.65,20.97,16265.57
2023-09-22,20.93,21.19,20.6,21.13,7904.31
2023-09-23,21.12,22.98,21.01,21.62,94333.56
2023-09-24,21.6,21.72,21.09,21.29,13727.38
2023-09-25,21.24,22.19,21.13,21.73,13165.39
2023-09-26,21.76,22.03,21.49,21.61,5075.82
2023-09-27,21.62,22.25,21.45,21.93,6893.04
2023-09-28,21.95,22.39,21.76,22.05,15346.22
2023-09-29,22.01,22.39,21.81,21.85,10113.52
2023-09-30,21.85,22.7,21.82,21.93,19802.17
2023-10-01,21.95,23.51,21.9,23.15,13794.44
2023-10-02,23.1,23.45,21.83,22.01,23340.15
2023-10-03,22.01,22.2,21.03,21.13,21344.97
2023-10-04,21.16,21.63,20.83,21.0,12967.08
2023-10-05,21.02,21.16,20.05,20.3,20143.38
2023-10-06,20.28,20.6,20.02,20.38,9539.91
2023-10-07,20.38,20.8,19.81,20.13,13275.82
2023-10-08,20.15,20.3,19.9,20.14,6584.41
2023-10-09,20.14,20.64,19.28,19.47,20998.62
2023-10-10,19.49,20.02,19.15,19.4,6315.1
2023-10-11,19.39,19.46,19.0,19.39,10046.63
2023-10-12,19.39,19.39,18.2,18.4,13942.24
2023-10-13,18.37,18.62,16.85,17.6,36508.79
2023-10-14,17.58,21.23,17.49,20.34,303809.69
2023-10-15,20.34,20.91,19.35,19.54,157203.68
2023-10-16,19.52,20.12,19.15,19.33,36716.3
2023-10-17,19.33,19.59,18.96,19.09,16536.2
2023-10-18,19.09,19.65,18.82,19.04,11692.74
2023-10-19,19.02,19.19,18.31,18.39,9457.44
2023-10-20,18.39,19.82,18.26,19.41,28351.18
2023-10-21,19.43,19.59,18.98,19.25,10652.99
2023-10-22,19.25,20.38,19.01,19.67,34020.57
